,Neighborhood,NeighborhoodLatitude,NeighborhoodLongitude,Venue_Count,Venue,VenueLatitude,VenueLongitude,VenueCategory
710,Nugegoda,6.8739369399614905,79.89319478945048,11,Mr. Kottu,6.874565,79.89682,Comfort Food Restaurant
711,Nugegoda,6.8739369399614905,79.89319478945048,11,Perera & Sons,6.8720157244368005,79.88972575097858,Bakery
712,Rattanapitiya,6.849551639771035,79.90097257579457,3,B-leaf,6.848422024359543,79.89701531168728,Asian Restaurant
713,Rattanapitiya,6.849551639771035,79.90097257579457,3,Kesel Kole,6.849885257924022,79.89692622595047,Asian Restaurant
714,Rattanapitiya,6.849551639771035,79.90097257579457,3,Vege Dine,6.848051974124884,79.89780954978093,Vegetarian / Vegan Restaurant
715,Pannipitiya North,6.849498993432625,79.94410503590387,3,Gemi Gedara,6.845505,79.944843,Asian Restaurant
716,Pannipitiya North,6.849498993432625,79.94410503590387,3,Lorry Joint,6.846562990871046,79.9470725951839,Food Truck
717,Pannipitiya North,6.849498993432625,79.94410503590387,3,Food Truck,6.84527063369751,79.94335174560547,Food Truck
718,Maharagama West,6.851412322662599,79.924852424358,7,BreadTalk Maharagama,6.850788,79.921442,Bakery
719,Maharagama West,6.851412322662599,79.924852424358,7,Burger King,6.849411,79.924052,Burger Joint
720,Maharagama West,6.851412322662599,79.924852424358,7,Red Lantern,6.850590883021906,79.92212951721271,Chinese Restaurant
721,Maharagama West,6.851412322662599,79.924852424358,7,Kalbo Bakery,6.8498099971847095,79.92323401899291,Bakery
722,Maharagama West,6.851412322662599,79.924852424358,7,Flying Dragon Restaurant,6.849303340612788,79.92433948662998,Chinese Restaurant
723,Maharagama West,6.851412322662599,79.924852424358,7,Manel Bakery,6.850610266977186,79.92164254188538,Bakery
724,Maharagama West,6.851412322662599,79.924852424358,7,Royal Food Court,6.847747892584465,79.9267169029807,Food Court
725,Wellangiriya,6.877403304776171,79.95316657502381,2,Ranjan's Family Restaurant,6.880116,79.949745,Restaurant
726,Wellangiriya,6.877403304776171,79.95316657502381,2,THE KIOSK,6.874025517235458,79.95038916787733,Cafeteria
727,Athurugiriya,6.873312476289743,79.99712823474617,4,Nature Field Restaurant,6.871755,79.997563,Restaurant
728,Athurugiriya,6.873312476289743,79.99712823474617,4,Kethmi,6.871327,79.997545,Sri Lankan Restaurant
729,Athurugiriya,6.873312476289743,79.99712823474617,4,Rasadini Bojun,6.8698883056640625,79.99962615966797,Restaurant
730,Athurugiriya,6.873312476289743,79.99712823474617,4,Grand La Family Restaurant,6.874935,79.993007,Chinese Restaurant
731,Attidiya South,6.826880184786511,79.88135008562249,2,Pizza Hut,6.831003014461129,79.88003670986535,Pizza Place
732,Attidiya South,6.826880184786511,79.88135008562249,2,Delight Rotty Shop & Restaurant,6.824598723255202,79.88066554570403,Café
733,Godigamuwa South B,6.836511463522977,79.92293664361604,1,DIB Resturant,6.840941013983642,79.92227354141467,Restaurant
734,Narahenpita,6.902276300477881,79.87987272886876,5,Flower Gate,6.902346367907375,79.87664091869651,Chinese Restaurant
735,Narahenpita,6.902276300477881,79.87987272886876,5,Pasta,6.904781569038665,79.8772369688157,Snack Place
736,Narahenpita,6.902276300477881,79.87987272886876,5,Flowergate Chinese Restaurant,6.902071,79.87586,Chinese Restaurant
737,Narahenpita,6.902276300477881,79.87987272886876,5,Tropical Yum,6.906412935700754,79.88026522100313,Asian Restaurant
738,Narahenpita,6.902276300477881,79.87987272886876,5,Red Fort,6.902209570787501,79.87654556247351,Indian Restaurant
739,Boralesgamuwa West A,6.838761049086602,79.89701057789334,4,Perera & Sons,6.840711907312831,79.90089904073535,Bakery
740,Boralesgamuwa West A,6.838761049086602,79.89701057789334,4,ද Chef,6.840852,79.894605,Asian Restaurant
741,Boralesgamuwa West A,6.838761049086602,79.89701057789334,4,Foodeez,6.8404903,79.90049,Sri Lankan Restaurant
742,Boralesgamuwa West A,6.838761049086602,79.89701057789334,4,Lemongrass,6.841429710388184,79.89392852783203,North Indian Restaurant
743,Attidiya North,6.836194634396591,79.88583391346073,4,Pizza Hut,6.840213150297999,79.88454439121999,Pizza Place
744,Attidiya North,6.836194634396591,79.88583391346073,4,Flavours Restaurant,6.838138564594243,79.88502352797421,Chinese Restaurant
745,Attidiya North,6.836194634396591,79.88583391346073,4,Toby's Dinner,6.838516768819009,79.88473373158779,Sri Lankan Restaurant
746,Attidiya North,6.836194634396591,79.88583391346073,4,Weras Ganga Food Court,6.8393198211357324,79.88742388020215,Food Court
747,Kawdana East,6.84517490949602,79.8805567793438,2,Pizza Hut,6.8492959759038525,79.88014607294268,Pizza Place
748,Kawdana East,6.84517490949602,79.8805567793438,2,Sam’s Barbecue,6.843614,79.884561,BBQ Joint
749,Egodawatta,6.849504948192034,79.90681228211078,1,Mal Kade,6.84920463730235,79.90689766313083,Sri Lankan Restaurant
750,Rukmale East A,6.859169506181236,79.98312236624662,1,Richmin Bakery & Hotel,6.856977,79.984034,Sri Lankan Restaurant
751,Wattegedara,6.847251924678434,79.9190654907067,4,BreadTalk Maharagama,6.850788,79.921442,Bakery
752,Wattegedara,6.847251924678434,79.9190654907067,4,Kalbo Bakers,6.846728361755706,79.92200026459054,Bakery
753,Wattegedara,6.847251924678434,79.9190654907067,4,MO'S FAST FOOD,6.844082355499268,79.92007446289062,Asian Restaurant
754,Wattegedara,6.847251924678434,79.9190654907067,4,Manel Bakery,6.850610266977186,79.92164254188538,Bakery
755,Dehiwala East,6.8563598052065595,79.86934039962263,9,Pizza Hut,6.856680439163273,79.86533386303036,Pizza Place
756,Dehiwala East,6.8563598052065595,79.86934039962263,9,Burgers Hut,6.859732149953582,79.86737206310426,Burger Joint
757,Dehiwala East,6.8563598052065595,79.86934039962263,9,Domino's Pizza,6.852803364874185,79.86933487565713,Pizza Place
758,Dehiwala East,6.8563598052065595,79.86934039962263,9,Burger King,6.853982659110764,79.86552302433505,Fast Food Restaurant
759,Dehiwala East,6.8563598052065595,79.86934039962263,9,Cornish Cafe,6.857533198952909,79.87088800738728,Donut Shop
760,Dehiwala East,6.8563598052065595,79.86934039962263,9,Domino's Pizza,6.854148169629211,79.86556425884606,Pizza Place
761,Dehiwala East,6.8563598052065595,79.86934039962263,9,Red Balloon,6.853543378231414,79.87199815166532,Chinese Restaurant
